P27748	H16_B0143
Q0KAH8	H16_A1892
Q0KEP9	H16_A0371
P14611	H16_A1438
Q59105	PHG252
Q0K630	H16_A3473
Q0K7X7	H16_A2816
Q0K644	H16_A3459
Q0KEP6	H16_A0375
Q0K8L7	H16_A2571
Q0KA26	H16_A2045
Q0K6P6	H16_A3250
Q0K643	H16_A3460
Q0K5L7	H16_A3647
P39662	PHG200
Q0K634	H16_A3469
Q0KE75	H16_A0547
Q0K956	H16_A2370
Q0KE95	H16_A0526
Q0KD80	H16_A0895
Q0K621	H16_A3482
Q0KCP3	H16_A1087
Q0K633	H16_A3470
Q0KEA7	H16_A0514
Q0KCP4	H16_A1086
Q0K631	H16_A3472
Q0KCE5	H16_A1185
Q0K3R9	H16_B0558
Q0KCU1	H16_A1038
Q0K979	H16_A2346
Q0K6I1	H16_A3321
Q0K720	H16_A3126
Q0K7T8	H16_A2856
Q0KET4	H16_A0336
Q0K951	H16_A2375
Q0KBY9	H16_A1343
P28613	H16_A0386
Q0K843	H16_A2749
Q0KF34	H16_A0235
Q0KFE0	H16_A0129
Q9ZHI5	H16_A3129
Q59102	PHG426
Q0KD81	H16_A0894
Q0K7B3	H16_A3033
Q0K7A0	H16_A3046
Q0K6Y9	H16_A3157
Q0K6Q0	H16_A3246
Q0K0D3	H16_B1759
Q0KBH3	H16_A1516
Q0KF70	H16_A0199
Q0KEC3	H16_A0498
Q0K734	H16_A3112
Q0K698	H16_A3405
O30332	H16_A1080
Q0KEC4	H16_A0497
P31912	PHG009
Q0K758	H16_A3088
Q0K602	H16_A3501
Q0K699	H16_A3404
Q0K845	H16_A2747
Q0K9I0	H16_A2244
Q04539	PHG423
Q0KEE2	H16_A0479
Q0KF31	H16_A0238
Q0KF25	H16_A0244
Q0K020	H16_B1872
Q0K4W7	H16_B0156
O30334	H16_A1081
Q0K7B2	H16_A3034
Q0KD59	H16_A0916
P32757	PHG004
Q0KCT2	H16_A1047
Q0K607	H16_A3496
Q0K642	H16_A3461
Q0KFB3	H16_A0156
Q0KB74	H16_A1615
Q0KCP7	H16_A1083
Q0K6Y1	H16_A3165
Q0K862	H16_A2730
Q0K9E5	H16_A2279
Q0K7N0	H16_A2915
O30338	H16_A1085
Q0K6N8	H16_A3259
Q0K710	H16_A3136
Q0K769	H16_A3077
P40289	H16_A0669
P27750	H16_B0148
Q0K625	H16_A3478
Q0JZT9	H16_B1953
Q0K9E8	H16_A2276
Q0K4I4	H16_B0290
Q0KE18	H16_A0605
Q0K889	H16_A2703
P59927	PHG335
Q0K636	H16_A3467
Q0KA11	H16_A2060
Q0K2W0	H16_B0872
Q59101	PHG416
P31640	H16_A2524
Q0K0L3	H16_B1676
Q0KF47	H16_A0222
Q0K0W4	H16_B1573
Q0K7Z8	H16_A2794
Q0K1N6	H16_B1298
Q0K650	H16_A3453
Q0K910	H16_A2419
Q0KCY5	H16_A0993
Q0KDB5	H16_A0859
Q0K6J2	H16_A3310
Q0K9I4	H16_A2240
Q0KDC2	H16_A0852
Q0KDZ7	H16_A0626
Q0K8D2	H16_A2659
Q0KD88	H16_A0886
Q0K196	H16_B1440
Q0JZG4	H16_B2078
Q0KAX4	H16_A1723
Q0KB53	H16_A1636
Q0KEQ7	H16_A0363
Q7WXI5	PHG149
Q0K189	H16_B1447
Q0JZT1	H16_B1961
Q0KCV7	H16_A1022
Q0K4P1	H16_B0232
Q0K4I8	H16_B0285
Q0K6Q2	H16_A3244
Q0K660	H16_A3443
Q0K7G7	H16_A2978
Q0K0Q3	H16_B1636
Q0K3Q3	H16_B0574
Q7WXF8	PHG176
Q0K900	H16_A2432
Q0K9X1	H16_A2101
Q0K156	H16_B1480
Q0JYU0	H16_B2302
Q0K0A8	H16_B1784
Q0K3Q7	H16_B0570
Q0KF32	H16_A0237
Q0KEL7	H16_A0404
Q0K715	H16_A3131
Q0KF35	H16_A0234
Q0K795	H16_A3051
Q0KEN2	H16_A0389
Q0JY47	H16_B2545
Q0KE15	H16_A0608
Q0K8L5	H16_A2573
Q0K8M4	H16_A2564
Q0KD10	H16_A0968
Q0JZG2	H16_B2080
Q7WWZ7	PHG345
Q0K2N0	H16_B0953
Q0K316	H16_B0816
Q0K453	H16_B0423
Q0K4Z7	H16_B0121
Q0K9R5	H16_A2159
Q0JZL3	H16_B2029
Q0KBS2	H16_A1414
Q0K6F6	H16_A3346
Q0K3C5	H16_B0702
Q0K412	H16_B0465
Q0K6B8	H16_A3384
Q0K359	H16_B0768
Q0K2U5	H16_B0887
Q0KDY2	H16_A0641
Q7WXP1	PHG077
Q0KA41	H16_A2030
Q0K7U7	H16_A2847
Q0K0U6	H16_B1593
Q0K8M0	H16_A2568
Q0K6K0	H16_A3297
Q0K6J0	H16_A3312
Q0K5J2	H16_A3672
Q0KDY7	H16_A0636
Q0KA87	H16_A1983
Q0KFC1	H16_A0148
Q0K093	H16_B1799
Q0KAL5	H16_A1853
Q7WXM9	PHG094
Q7WX24	PHG318
Q0KAU3	H16_A1765
Q0K0W7	H16_B1570
Q7WXG1	PHG173
Q0K4K9	H16_B0264
Q0KAD8	H16_A1932
Q0KEJ6	H16_A0425
Q0KAP1	H16_A1827
Q0K3I3	H16_B0644
Q7WXR4	PHG054
Q0K3Y9	H16_B0488
Q0K2B5	H16_B1068
Q0KBX2	H16_A1362
Q0K4S3	H16_B0200
Q0KDZ3	H16_A0630
Q0K4I0	H16_B0294
Q0K2X7	H16_B0855
Q0JYT5	H16_B2307
Q0K3M0	H16_B0607
Q0KBD5	H16_A1554
Q0K467	H16_B0408
Q0K7X0	H16_A2823
Q0K8Z1	H16_A2441
Q0KA78	H16_A1992
Q0K6J4	H16_A3308
Q0KD57	H16_A0918
Q0K912	H16_A2417
Q0K1K9	H16_B1325
Q0K725	H16_A3121
Q0K259	H16_B1124
Q0KCM4	H16_A1106
Q0K0K6	H16_B1683
Q0K6Q4	H16_A3242
Q0K8K1	H16_A2587
Q0KCN9	H16_A1091
Q0K2W2	H16_B0870
Q0K7Q7	H16_A2888
Q0KEI5	H16_A0436
Q0KF67	H16_A0202
Q0JZM0	H16_B2022
Q0K0Q6	H16_B1633
Q0JYJ4	H16_B2398
Q0K8J3	H16_A2596
Q7WX05	PHG337
Q7WXI0	PHG154
Q0K2R6	H16_B0916
Q0KC63	H16_A1268
Q0K258	H16_B1125
Q0KDM9	H16_A0744
Q0JZT8	H16_B1954
Q0KF57	H16_A0212
Q0JZG0	H16_B2082
Q0KEN9	H16_A0382
Q0K7V5	H16_A2839
Q0JZ97	H16_B2145
Q0K4Q4	H16_B0219
Q0K7C7	H16_A3019
Q0K2M5	H16_B0958
Q0KBY2	H16_A1351
Q0KAK4	H16_A1864
Q0K0G7	H16_B1722
Q0K2J9	H16_B0984
Q0K7C9	H16_A3017
Q0K486	H16_B0389
Q0JZJ9	H16_B2043
Q0KCR4	H16_A1066
Q0JY25	H16_B2567
Q7WX79	PHG263
Q0JY80	H16_B2512
Q0K076	H16_B1816
Q0KF26	H16_A0243
Q0KCG8	H16_A1162
Q0K8X6	H16_A2456
Q0KC34	H16_A1297
Q0K5Q0	H16_A3614
Q0KEN6	H16_A0385
Q0KDU7	H16_A0676
Q0K429	H16_B0448
Q0KAM0	H16_A1848
Q0K0D6	H16_B1756
Q0KFJ1	H16_A0078
Q0K6D2	H16_A3370
Q0K562	H16_B0056
Q0K9I9	H16_A2235
Q0K008	H16_B1884
Q0K3Z5	H16_B0482
Q0K1X5	H16_B1209
Q0K2U4	H16_B0888
Q0K9Q5	H16_A2169
Q0KEH7	H16_A0444
Q0KDA6	H16_A0868
Q0K358	H16_B0774
Q0K458	H16_B0418
Q0K219	H16_B1164
Q0K3U3	H16_B0534
Q0JYH3	H16_B2419
Q7WX58	PHG284
Q0K9Z2	H16_A2080
Q0K044	H16_B1848
Q0JYP3	H16_B2349
Q0JZR1	H16_B1981
Q0K0C3	H16_B1769
Q0K1S6	H16_B1258
Q0K3P5	H16_B0582
Q0K484	H16_B0391
Q0K783	H16_A3063
Q0KB80	H16_A1609
Q0KEC7	H16_A0494
Q0KDD6	H16_A0838
Q0K3Y6	H16_B0491
Q0K4W6	H16_B0157
Q0K7L0	H16_A2935
Q0K908	H16_A2421
Q0KFL2	H16_A0057
Q0KEL4	H16_A0407
Q7WXJ7	PHG127
Q0K0J3	H16_B1696
Q0K4T3	H16_B0190
Q0KAV0	H16_A1756
Q0KD04	H16_A0974
Q0K0B8	H16_B1774
Q0KBY1	H16_A1352
Q0KDW9	H16_A0654
Q0KCA5	H16_A1225
Q0KB09	H16_A1683
Q0KD47	H16_A0928
Q0KCX5	H16_A1004
Q0KAD3	H16_A1937
Q0K7C1	H16_A3025
Q0JYS9	H16_B2313
Q0KBN0	H16_A1456
Q0K335	H16_B0797
Q0K2N2	H16_B0951
Q7WWT0	PHG412
Q0K1A5	H16_B1431
Q0K1T9	H16_B1245
Q0KAK2	H16_A1866
Q0K0Q7	H16_B1632
Q0K2A8	H16_B1075
Q0K5P0	H16_A3624
Q0K3X5	H16_B0502
Q0KAB7	H16_A1953
Q0JZ14	H16_B2228
Q0JYD4	H16_B2458
Q0JYE7	H16_B2445
Q0K0D2	H16_B1760
Q0K722	H16_A3124
Q0KA03	H16_A2068
Q7WXG3	PHG171
Q0K4N6	H16_B0237
Q0KBY6	H16_A1346
Q0K4T5	H16_B0188
Q0K038	H16_B1854
Q0K4L4	H16_B0259
Q0KBW6	H16_A1369
Q7WXA1	PHG236
Q0K0S2	H16_B1617
Q0K4Y4	H16_B0134
Q0K0M3	H16_B1666
Q0JZ34	H16_B2208
Q0K202	H16_B1181
Q0KBG7	H16_A1522
Q0JZE3	H16_B2099
Q0K4C8	H16_B0346
Q0KEM3	H16_A0398
Q0K882	H16_A2710
Q0KCV9	H16_A1020
Q0K4B6	H16_B0358
Q7WXH5	PHG159
Q0JYS2	H16_B2320
Q0K0N6	H16_B1653
Q0KC81	H16_A1250
Q0K168	H16_B1468
Q0K6T7	H16_A3209
Q0KA65	H16_A2006
Q0K5N0	H16_A3634
Q0KB15	H16_A1677
Q0K9X7	H16_A2095
Q0K1G7	H16_B1368
Q0JYG0	H16_B2432
Q0KAG1	H16_A1909
Q0K138	H16_B1499
Q0KAP3	H16_A1824
Q0K222	H16_B1161
Q0KBB8	H16_A1571
Q0K3L3	H16_B0614
Q0K302	H16_B0830
Q0K357	H16_B0775
Q0JZM2	H16_B2020
Q0KA04	H16_A2067
Q0K9H1	H16_A2253
Q0KB05	H16_A1691
Q0KE47	H16_A0575
Q0K2F5	H16_B1028
Q0JZB0	H16_B2132
Q0KEL1	H16_A0410
Q0KD63	H16_A0912
Q0K1G6	H16_B1369
Q0K4C5	H16_B0349
Q0K2V1	H16_B0881
Q0K8T8	H16_A2495
Q0K3W9	H16_B0508
Q0K2J0	H16_B0993
Q7WXT7	PHG029
Q0K454	H16_B0422
Q0JYS0	H16_B2322
Q0JZW9	H16_B1923
Q0KCL3	H16_A1117
Q7WX33	PHG309
Q0K0H0	H16_B1719
Q0K028	H16_B1864
Q0K611	H16_A3492
Q0KEK1	H16_A0420
Q0K791	H16_A3055
Q0KD77	H16_A0898
Q0KD68	H16_A0907
Q0K456	H16_B0420
Q7WWZ0	PHG352
Q0K071	H16_B1821
Q0KDE6	H16_A0828
Q0K2J5	H16_B0988
Q0KA91	H16_A1979
Q0KC90	H16_A1241
Q0KEV2	H16_A0318
Q0K9U4	H16_A2130
Q0K1H5	H16_B1360
Q0K7L8	H16_A2927
Q0K809	H16_A2783
Q0KEM7	H16_A0394
Q0KEU2	H16_A0328
Q0K943	H16_A2383
Q0K847	H16_A2745
Q0K9N6	H16_A2188
Q0K4U0	H16_B0183
Q0KFL7	H16_A0052
Q0K1D8	H16_B1397
Q0KA84	H16_A1986
Q0K7T7	H16_A2857
Q0KBE5	H16_A1544
Q0KCV6	H16_A1023
Q0KD08	H16_A0970
Q0K152	H16_B1484
Q0K881	H16_A2711
Q0K459	H16_B0417
Q0K880	H16_A2712
Q0K7P7	H16_A2898
Q7WXS2	PHG046
Q0KDP0	H16_A0733
Q0KCA0	H16_A1231
Q0K128	H16_B1509
Q0KEJ9	H16_A0422
Q0KCV1	H16_A1028
Q0KFN0	H16_A0039
Q0KC73	H16_A1258
Q0K3C7	H16_B0700
Q0JYP1	H16_B2351
Q0K103	H16_B1534
Q0KB94	H16_A1595
Q0K5E3	H16_A3722
Q0K8K4	H16_A2584
Q0K348	H16_B0784
Q7WWU1	PHG401
Q0JY29	H16_B2563
Q0K656	H16_A3447
Q0KEN3	H16_A0388
Q0KC22	H16_A1309
Q0K3T9	H16_B0538
Q0KC58	H16_A1273
Q0K147	H16_B1489
Q0JZB7	H16_B2125
Q0K2W3	H16_B0869
Q0K7E0	H16_A3005
Q0K8J8	H16_A2590
Q0K3Y7	H16_B0490
Q0K026	H16_B1866
Q0K2N6	H16_B0947
Q0K9C6	H16_A2299
Q0K4J0	H16_B0283
Q0KCB0	H16_A1220
Q0K8L3	H16_A2575
Q0K867	H16_A2725
Q0KE54	H16_A0568
Q0KBM7	H16_A1459
Q0KEH0	H16_A0451
Q0K9K7	H16_A2217
Q0K9F2	H16_A2272
Q0K831	H16_A2761
Q0KEF0	H16_A0471
Q0JZ21	H16_B2221
Q0K174	H16_B1462
Q7WSB2	PHG222
Q7WXP5	PHG073
Q0K236	H16_B1147
Q0K401	H16_B0476
Q0KET3	H16_A0337
Q7WXN8	PHG080
Q0KBR4	H16_A1422
Q0K3K8	H16_B0619
Q0K550	H16_B0068
Q0KEJ0	H16_A0431
Q0KEA3	H16_A0518
Q0KF52	H16_A0217
Q0JYW5	H16_B2277
Q0KBR0	H16_A1426
Q0K276	H16_B1107
Q0K3Z9	H16_B0478
Q0K3N5	H16_B0592
Q0K821	H16_A2771
Q0K6Q1	H16_A3245
Q0K1P9	H16_B1285
Q0K000	H16_B1892
Q0K7G5	H16_A2980
Q0K7I8	H16_A2957
Q0K394	H16_B0733
Q0K2E8	H16_B1035
Q0K3M1	H16_B0606
Q0KEZ9	H16_A0271
Q0JY83	H16_B2509
Q0K022	H16_B1870
Q0KBL6	H16_A1470
Q0JYC8	H16_B2464
Q0JZM7	H16_B2015
Q0KCU0	H16_A1039
Q0K925	H16_A2404
Q0KAV6	H16_A1744
Q0K5M2	H16_A3642
Q0K839	H16_A2753
Q0KBW4	H16_A1371
Q0JY87	H16_B2505
Q0K7R7	H16_A2878
Q0KD00	H16_A0978
Q0JZJ2	H16_B2050
Q0K2C8	H16_B1055
Q7WXT4	PHG032
Q0K5Y8	H16_A3524
Q0K5J5	H16_A3669
Q0JZH9	H16_B2063
Q0KBW3	H16_A1372
Q0K048	H16_B1844
Q0K8Y8	H16_A2444
Q0KAE0	H16_A1930
Q0K5C6	H16_A3739
Q0K3Y8	H16_B0489
Q0K877	H16_A2715
Q7WWT9	PHG403
Q0KAU6	H16_A1761
Q0KDL3	H16_A0760
Q0JY35	H16_B2557
Q0K1U2	H16_B1242
Q0K113	H16_B1524
Q0KE82	H16_A0540
Q0KAQ0	H16_A1817
Q0KES4	H16_A0346
Q0KFB9	H16_A0150
Q0K0L7	H16_B1672
Q0K0W9	H16_B1568
Q0JYN4	H16_B2358
Q0K184	H16_B1452
Q0K6S1	H16_A3225
Q7WXM2	PHG102
Q0K6N6	H16_A3261
Q0K7A4	H16_A3042
Q7WWX6	PHG366
Q0K9D0	H16_A2295
Q0KC66	H16_A1265
Q0K0K7	H16_B1682
Q0JYE4	H16_B2448
Q0KFJ3	H16_A0076
Q0K514	H16_B0104
Q0KB45	H16_A1644
Q0K5R1	H16_A3602
Q0KA55	H16_A2016
Q0JZ74	H16_B2168
Q0K0G4	H16_B1727
Q0K6K9	H16_A3288
Q0K9G2	H16_A2262
Q0JYF9	H16_B2433
Q0KAM3	H16_A1845
Q0K8Q0	H16_A2534
Q0KAX8	H16_A1719
Q0K375	H16_B0752
Q7WX02	PHG340
Q0K3J9	H16_B0628
Q0KC37	H16_A1294
Q0K1W4	H16_B1220
Q0K879	H16_A2713
Q0K580	H16_B0038
Q0K4D2	H16_B0342
Q0K822	H16_A2770
Q0KBM5	H16_A1461
Q0K8Y1	H16_A2451
Q0JZS6	H16_B1966
Q0KDF7	H16_A0817
Q0KDI9	H16_A0785
Q0K668	H16_A3435
Q0K6H1	H16_A3331
Q0KED3	H16_A0488
Q0K740	H16_A3106
Q0JZV8	H16_B1934
Q0K6N4	H16_A3263
Q0K0E8	H16_B1744
Q0KDB7	H16_A0857
Q0JZC7	H16_B2115
Q0K2J7	H16_B0986
Q0K041	H16_B1851
Q0KEX0	H16_A0300
Q0K085	H16_B1807
Q0K3T6	H16_B0541
Q0K736	H16_A3110
Q0KBM6	H16_A1460
Q0KD62	H16_A0913
Q0KFL4	H16_A0055
Q0KFH2	H16_A0097
Q0KEM1	H16_A0400
Q0K919	H16_A2410
Q0KA44	H16_A2027
Q0KCL6	H16_A1114
Q0KE11	H16_A0612
Q7WX93	PHG248
Q0K6T8	H16_A3208
Q0K3Y5	H16_B0492
Q0K3G4	H16_B0663
Q0K3X4	H16_B0503
Q0K9J6	H16_A2228
Q0KC46	H16_A1285
Q0K3U0	H16_B0537
Q0KFF2	H16_A0117
Q0KB82	H16_A1607
Q0KEZ6	H16_A0274
Q0K6C1	H16_A3381
Q0K9K4	H16_A2220
Q0K789	H16_A3057
Q0K726	H16_A3120
Q0KAK5	H16_A1863
Q0K4R8	H16_B0205
Q0K9A6	H16_A2319
Q7WXD0	PHG204
